10	1081
20	6173
30	12435
40	18128
50	30337
60	49066
70	49491
80	66416
90	84943
100	102804
110	129080
120	161220
130	194536
140	194513
150	218497
160	254522
170	281652
180	342266
190	383809
200	456703
210	438032
220	491209
230	577977
240	582122
250	621153
260	689371
270	658497
280	724307
290	802774
300	828601
310	974187
320	948081
330	1092250
340	1481843
350	1310903
360	1855061
370	2133695
380	2551922
390	1743115
400	1792329
410	1431548
420	1512848
430	1570225
440	1648265
450	1906649
460	2061642
470	2802560
480	2888570
490	3358162
500	2598608
510	2552238
520	2792019
530	2702628
540	3463785
550	3201011
560	2925699
570	3478225
580	3149159
590	3610763
600	4239756
610	3586404
620	4005886
630	4569862
640	3805869
650	3674080
660	4213158
670	5529326
680	6248647
690	4814684
700	4388073
710	5136014
720	5328854
730	6707378
740	4891738
750	6591216
760	5533932
770	6221779
780	5387724
790	5471154
800	6857930
810	7878853
820	7655554
830	6422644
840	6429783
850	7278291
860	7573975
870	7990701
880	8186077
890	7930050
900	6994566
910	7145651
920	7992080
930	8593567
940	8641056
950	11146399
960	9766146
970	9102815
980	9593016
990	9432703
1000	9570621
1010	10864950
1020	12386894
1030	9194480
1040	9752651
1050	9334131
1060	10186979
1070	9881160
1080	11190514
1090	10637544
1100	10611014
1110	11513989
1120	12335931
1130	10937571
1140	12414879
1150	10994709
1160	11114011
1170	11265196
1180	11550028
1190	12015220
1200	13184139
1210	15800002
1220	14595105
1230	14848520
1240	13467900
1250	14813042
1260	15598618
1270	14263991
1280	15025779
1290	15923100
1300	13948370
1310	14440026
1320	16626724
1330	20795613
1340	20056724
1350	15576185
1360	18546055
1370	16381014
1380	18540032
1390	19316952
1400	21692225
1410	19772152
1420	20615986
1430	19001151
1440	18339660
1450	18371609
1460	19258971
1470	18382200
1480	18787831
1490	18000637
1500	22621559
1510	19262387
1520	19748076
1530	29231487
1540	23408242
1550	23393611
1560	24124180
1570	21618423
1580	21610758
1590	23323018
1600	21398063
1610	21751310
1620	24832898
1630	21468549
1640	23276392
1650	24417046
1660	26524638
1670	23245075
1680	24713312
1690	25095192
1700	24491964
1710	24540754
1720	26377803
1730	26660092
1740	26020332
1750	28986297
1760	28444571
1770	30400909
1780	25980128
1790	26141052
1800	31117133
1810	27782554
1820	28047315
1830	32814709
1840	27819761
1850	31051891
1860	28014734
1870	32080543
1880	29733466
1890	30034100
1900	29529916
1910	30859920
1920	35728279
1930	32185037
1940	31779210
1950	31289021
1960	31302220
1970	31939401
1980	35119128
1990	36441538
2000	32649793
2010	32380691
2020	36420821
2030	34799915
2040	34389076
2050	35019768
2060	39493652
2070	41083691
2080	40911843
2090	36052783
2100	42100388
2110	36089394
2120	36986000
2130	40784555
2140	36773799
2150	38642042
2160	39043191
2170	39053569
2180	38858824
2190	39851624
2200	40337998
2210	39400193
2220	46640585
2230	42134671
2240	42379414
2250	43825912
2260	42500674
2270	45528927
2280	41590095
2290	44027026
2300	52041174
2310	44074098
2320	45500853
2330	45981347
2340	46793616
2350	45414915
2360	45332152
2370	48612669
2380	47781623
2390	53300256
2400	54918263
2410	48304360
2420	48199668
2430	52299390
2440	54169691
2450	50919324
2460	49177501
2470	58588188
2480	52551950
2490	57286276
2500	52042724
2510	51187704
2520	50825068
2530	50304441
2540	52043640
2550	59323345
2560	53247286
2570	54875783
2580	57968011
2590	54642179
2600	55465326
2610	55463401
2620	57953759
2630	57561157
2640	62408472
2650	58179995
2660	57615261
2670	64481470
2680	59900114
2690	65052778
2700	58192416
2710	59328348
2720	59556741
2730	65073210
2740	64126024
2750	59545877
2760	70658676
2770	63213544
2780	62347184
2790	63523934
2800	63604316
2810	64752285
2820	70756310
2830	68624508
2840	64474086
2850	74553981
2860	68734685
2870	68638219
2880	69501199
2890	75468763
2900	78081396
2910	69047572
2920	68458872
2930	69105717
